((('240', '284'), ('12',)), 0.8888888888888888)
((('240', '12'), ('284',)), 0.5333333333333333)
((('284', '12'), ('240',)), 0.5333333333333333)
((('159', '423'), ('24',)), 0.7037037037037037)
((('159', '24'), ('423',)), 0.6129032258064516)
((('294', '293'), ('296',)), 0.782608695652174)
((('294', '296'), ('293',)), 0.5625)
((('293', '296'), ('294',)), 0.6)
((('284', '24'), ('11',)), 0.6)
((('642', '12'), ('11',)), 0.625)
((('642', '11'), ('12',)), 0.6818181818181818)
((('256', '12'), ('255',)), 1.0)
((('255', '12'), ('256',)), 0.8)
((('448', '198'), ('447',)), 0.7083333333333334)
((('198', '447'), ('448',)), 0.68)
((('23', '423'), ('24',)), 0.6097560975609756)
((('770', '13'), ('639',)), 1.0)
((('270', '17'), ('11',)), 0.8333333333333334)
((('270', '11'), ('17',)), 0.7142857142857143)
((('17', '14'), ('11',)), 0.8837209302325582)
((('129', '159'), ('11',)), 0.6521739130434783)
((('159', '11'), ('129',)), 0.6)
((('22', '23'), ('12',)), 0.5)
((('137', '423'), ('444',)), 0.5769230769230769)
((('137', '444'), ('423',)), 0.8823529411764706)
((('139', '24'), ('19',)), 0.7631578947368421)
((('338', '17'), ('24',)), 0.625)
((('338', '24'), ('17',)), 0.5555555555555556)
((('338', '458'), ('423',)), 0.9375)
((('338', '423'), ('458',)), 0.5769230769230769)
((('13', '24'), ('17',)), 0.7164179104477612)
((('17', '193'), ('19',)), 0.59375)
((('129', '12'), ('13',)), 0.5357142857142857)
((('144', '17'), ('43',)), 0.5357142857142857)
((('22', '159'), ('24',)), 0.5769230769230769)
((('144', '19'), ('129',)), 0.5161290322580645)
((('129', '73'), ('43',)), 0.5128205128205128)
((('144', '73'), ('11',)), 0.7142857142857143)
((('139', '22'), ('73',)), 0.5454545454545454)
((('139', '73'), ('22',)), 0.5625)
((('19', '43'), ('11',)), 0.8518518518518519)
((('639', '23'), ('13',)), 0.7941176470588235)
((('256', '11'), ('255',)), 1.0)
((('255', '11'), ('256',)), 0.6818181818181818)
((('294', '43'), ('11',)), 0.92)
((('201', '12'), ('129',)), 0.5263157894736842)
((('129', '12'), ('201',)), 0.5357142857142857)
((('19', '193'), ('11',)), 0.6170212765957447)
((('11', '193'), ('19',)), 0.6170212765957447)
((('438', '13'), ('11',)), 0.5357142857142857)
((('11', '438'), ('13',)), 0.6)
((('198', '642'), ('12',)), 0.782608695652174)
